gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,Churn,HasInternet,InternetService_DSL,InternetService_Fiber_optic,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,1,0.0643026851883519,1,1,0,0,0,0,0,0,2,0,-1.3245721077560746,0,0,0,0,1,0,0
0,0,0,0,1.6125732136881423,1,1,0,0,1,1,1,1,2,1,1.419426492402149,0,1,0,1,1,0,0
0,0,1,0,0.5939741817803856,1,1,0,0,1,0,1,1,0,1,1.1867433888151402,0,1,0,1,0,1,0
1,0,0,0,1.1236456783724194,1,1,0,1,0,0,1,0,0,1,0.8343946890976701,0,1,0,1,0,0,0
1,0,1,0,1.6125732136881423,0,0,1,1,1,0,0,0,2,0,-0.7544985039679034,0,1,1,0,0,0,0
0,0,1,1,-0.5876006952326126,1,0,0,0,1,1,0,0,1,1,-0.3456410505221597,0,1,1,0,1,0,0
0,0,0,0,-0.9542963467194052,1,1,0,0,0,0,1,1,0,0,0.9839766842607472,1,1,0,1,0,1,0
0,0,0,0,-1.1987601143772668,1,0,0,1,0,1,1,1,0,1,0.3490842159019089,0,1,1,0,0,1,0
1,0,1,0,0.5939741817803856,1,1,0,1,0,0,0,0,1,1,0.4687498120323708,0,1,0,1,0,1,0
0,0,0,0,-0.0579291986405789,1,0,0,1,1,1,1,1,2,0,0.4787219450432425,0,1,1,0,0,0,1
0,0,1,1,0.7162060656093164,1,0,0,0,0,0,0,0,2,0,-1.4841262359300234,0,0,0,0,0,0,0
1,0,0,0,-0.9135523854430948,1,0,1,0,1,0,0,0,0,1,0.5003282332334644,0,1,0,1,0,0,1
1,0,0,0,-1.2802480369298874,1,0,0,0,0,1,0,0,0,0,-0.5234774225493735,0,1,1,0,0,0,1
0,0,1,1,0.797693988161937,1,0,0,0,0,0,0,0,1,1,-1.4758161250876305,0,0,0,0,0,1,0
1,1,1,1,1.2866215234776603,1,1,1,0,1,1,1,1,2,1,1.5557123102173966,0,1,0,1,0,0,0
1,0,1,1,1.2051336009250395,1,1,0,0,0,0,0,0,2,1,-1.3478404181147754,0,0,0,0,0,0,0
0,0,0,1,-1.1987601143772668,1,0,1,0,0,1,0,1,0,1,-0.0099125724894757,0,1,1,0,0,0,0
0,1,0,0,0.960669833267178,1,1,1,1,1,0,1,1,1,0,1.5191478225108668,0,1,0,1,0,1,0
0,0,0,0,0.5532302205040753,1,0,0,0,0,0,0,1,1,0,-0.3040904963101938,0,1,1,0,1,0,0
0,0,1,1,-0.9950403079957154,1,0,1,1,0,0,0,0,0,0,-0.3373309396797665,0,1,1,0,0,0,1
1,1,0,0,-0.0986731599168891,1,0,1,1,0,0,1,1,0,1,0.330801972048644,0,1,1,0,0,1,0
0,0,1,1,0.512486259227765,1,1,0,0,0,0,0,0,1,1,-1.2929936865549807,0,0,0,0,1,0,0
0,0,0,1,-1.2802480369298874,1,0,0,0,0,0,1,0,0,1,0.4837080115486781,1,1,0,1,0,1,0
0,0,1,1,-0.8728084241667845,0,0,1,0,0,0,1,1,0,0,-0.4736167574950145,0,1,1,0,0,1,0
0,0,1,0,-1.0357842692720256,1,0,0,0,1,0,0,0,0,1,0.3440981493964733,1,1,0,1,0,0,0
0,0,0,0,0.3902543753988342,1,0,0,1,1,1,1,1,0,1,1.2964368519347298,0,1,0,1,0,0,0
0,0,1,0,0.6754621043330061,1,0,0,0,0,0,0,0,2,1,-1.4841262359300234,0,0,0,0,0,0,0
1,0,0,0,-0.9542963467194052,1,1,0,1,0,0,1,1,0,1,1.1468548567716528,0,1,0,1,1,0,0
0,0,1,0,0.1050466464646622,1,0,1,0,0,0,1,0,1,1,-0.0880276144079715,0,1,1,0,0,0,0
0,0,1,1,0.6347181430566958,1,0,0,0,0,0,0,0,2,0,-1.4675060142452372,0,0,0,0,0,0,0
0,0,1,1,0.5532302205040753,1,0,0,0,0,0,0,0,2,1,-1.4907743246039378,0,0,0,0,0,0,1
1,0,1,0,-0.1394171211931994,0,0,0,0,0,0,1,0,0,0,-1.0320562061038352,0,1,1,0,0,0,1
1,0,1,1,-0.0986731599168891,1,0,0,1,1,0,0,0,0,0,0.5734572086465244,0,1,0,1,0,0,0
1,1,0,0,-1.2802480369298874,1,0,0,0,0,1,0,0,0,0,0.3291399498801655,0,1,0,1,0,1,0
1,0,1,1,1.368109446030281,1,1,1,0,1,1,1,1,2,1,0.6382760732171912,0,1,1,0,0,0,1
0,0,0,0,1.3273654847539706,1,1,1,1,1,0,1,1,0,1,1.5374300663641316,0,1,0,1,1,0,0
1,0,0,0,1.6125732136881423,1,1,0,1,1,0,1,1,2,1,1.2000395661629697,0,1,0,1,0,0,0
0,0,0,0,-0.8320644628904743,1,1,1,0,0,0,0,0,0,1,0.4704118342008493,1,1,0,1,0,1,0
1,0,1,1,1.5718292524118322,1,1,1,1,0,1,0,0,1,1,0.0682024694290198,0,1,1,0,1,0,0
1,0,0,0,-1.1172721918246462,1,0,0,0,0,0,0,0,0,0,-1.454209836897408,1,0,0,0,0,0,1
1,0,0,0,0.797693988161937,1,0,0,0,0,0,0,0,2,0,-1.4558718590658866,0,0,0,0,0,0,0
0,1,1,0,-0.3023929662984406,1,0,0,1,1,0,1,1,0,1,1.1202625020759949,1,1,0,1,0,1,0
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,-1.4824642137615447,0,0,0,0,0,0,1
0,0,1,1,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,-1.5073945462887242,0,0,0,0,0,1,0
1,0,0,0,0.227278530293593,1,1,0,0,1,1,1,0,1,0,1.0039209502824906,0,1,0,1,0,0,0
0,1,1,0,1.368109446030281,0,0,0,1,1,0,1,0,1,0,-0.6398189743428778,0,1,1,0,0,0,0
1,0,1,0,1.4495973685829016,1,1,0,1,1,1,1,1,2,1,1.5025276008260804,1,1,0,1,0,0,0
1,0,0,0,-1.1172721918246462,0,0,0,0,0,0,0,0,0,0,-1.346178395946297,0,1,1,0,0,0,1
0,0,1,1,1.6125732136881423,1,1,1,1,0,0,1,1,1,1,1.3080710071140806,0,1,0,1,0,1,0
0,0,0,0,-0.0171852373642686,0,0,1,0,0,0,0,0,1,0,-1.1517218022342968,0,1,1,0,0,0,1
1,0,0,0,0.4309983366751445,1,1,0,0,0,0,1,1,1,0,0.982314662092268,0,1,0,1,0,0,1
1,0,1,1,1.6125732136881423,1,0,0,0,0,0,0,0,2,0,-1.509056568457203,0,0,0,0,1,0,0
1,0,1,0,0.9199258719908678,1,1,1,1,0,0,1,0,0,1,1.0620917261792426,1,1,0,1,0,1,0
0,0,0,0,0.797693988161937,1,0,1,0,1,1,0,0,1,0,-0.2276374765601766,0,1,1,0,1,0,0
0,0,0,0,0.4309983366751445,1,0,0,1,1,0,1,0,0,1,0.8925654649944222,0,1,0,1,0,1,0
0,1,1,0,0.1865345690172827,1,1,0,0,0,0,0,0,0,1,0.3889727479453962,1,1,0,1,0,1,0
0,0,1,1,1.2866215234776603,0,0,0,1,0,1,1,1,2,1,-0.338992961848245,0,1,1,0,0,1,0
1,0,1,1,-1.1987601143772668,1,0,1,1,0,0,1,0,0,0,0.8327326669291911,0,1,0,1,0,1,0
0,0,0,0,0.1457906077409725,0,0,1,0,0,0,0,0,2,0,-1.1218054032016815,0,1,1,0,0,0,0
0,0,1,1,-0.9135523854430948,1,1,1,0,0,0,1,1,0,1,1.178433277972747,1,1,0,1,0,1,0
0,0,0,0,0.3495104141225239,1,0,0,0,0,0,0,0,2,0,-1.4675060142452372,0,0,0,0,0,0,1
1,0,1,1,-0.22090504374582,1,1,0,1,0,1,0,0,0,1,0.6781646052606785,0,1,0,1,1,0,0
0,0,1,1,0.960669833267178,1,1,0,0,1,0,1,1,1,1,1.1634750784564392,0,1,0,1,1,0,0
0,0,0,0,-1.076528230548336,1,0,0,0,0,0,0,0,0,0,-1.4658439920767583,0,0,0,0,0,0,1
1,0,0,0,-1.1987601143772668,1,1,0,0,0,0,0,0,0,1,0.3191678168692938,1,1,0,1,0,1,0
0,0,1,1,-1.0357842692720256,1,0,1,0,0,0,0,0,0,0,-0.4686306909895784,0,1,1,0,0,0,1
0,0,1,1,-1.1580161531009563,1,0,0,0,0,0,0,0,0,0,-1.4608579255713223,0,0,0,0,0,0,1
1,0,0,0,0.0235587239120416,1,0,1,0,0,1,1,0,2,1,0.802816267896576,0,1,0,1,0,1,0
0,1,0,0,-0.22090504374582,1,1,0,0,1,0,0,0,0,1,0.4404954351682337,1,1,0,1,0,1,0
1,0,1,0,1.6125732136881423,1,1,0,0,0,0,0,0,2,1,-1.3711087284734764,0,0,0,0,0,0,0
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,-1.4974224132778524,0,0,0,0,0,0,1
1,1,0,0,1.5718292524118322,0,0,1,1,0,0,1,1,1,1,-0.2774981416145356,0,1,1,0,0,1,0
0,0,0,0,-0.791320501614164,1,1,0,0,0,0,0,1,0,1,0.703094937787858,0,1,0,1,0,1,0
0,0,1,1,-0.3023929662984406,0,0,1,1,1,0,1,1,0,1,-0.2060311883699544,1,1,1,0,1,0,0
1,0,0,0,1.4088534073065913,1,0,0,0,0,1,0,0,2,0,-0.4736167574950145,0,1,1,0,0,0,0
1,0,0,0,-1.2802480369298874,0,0,0,0,0,0,0,1,0,1,-0.9755474523755616,1,1,1,0,0,1,0
1,0,0,0,-1.2395040756535771,1,0,0,0,0,0,0,0,0,0,-0.6797075063863649,1,1,1,0,0,1,0
0,0,0,0,0.4309983366751445,1,1,0,0,0,0,0,0,2,1,-1.2996417752288951,0,0,0,0,1,0,0
0,0,0,0,-0.3838808888510611,1,0,1,0,0,0,0,0,0,1,0.3391120828910372,0,1,0,1,0,0,0
0,0,1,1,1.2866215234776603,1,0,0,0,0,0,0,0,2,0,-1.4824642137615447,0,0,0,0,0,0,1
1,0,0,1,1.0014137945434884,1,0,0,0,0,0,0,0,2,1,-1.5024084797832884,0,0,0,0,0,0,1
0,1,1,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,1,0.1878680655594816,1,1,0,1,0,0,1
0,1,1,1,1.6125732136881423,1,1,1,1,1,1,1,1,2,1,0.7728998688639604,0,1,1,0,1,0,0
0,0,0,0,-0.9950403079957154,1,1,1,0,0,1,0,1,0,0,0.2111363759181826,1,1,1,0,0,1,0
0,0,1,0,1.1643896396487294,1,1,0,1,0,0,1,1,2,1,1.205025632668405,0,1,0,1,0,0,0
1,0,0,0,1.2866215234776603,1,1,1,1,0,0,0,0,1,1,0.6482482062280629,0,1,0,1,1,0,0
1,1,1,0,1.5718292524118322,1,1,0,0,0,0,0,0,2,0,-1.3578125511256471,0,0,0,0,0,0,0
0,0,1,1,1.3273654847539706,1,1,1,1,0,1,1,0,2,1,1.1385447459292597,0,1,0,1,1,0,0
1,0,0,0,-1.1987601143772668,1,0,0,0,0,0,0,0,1,0,-1.5024084797832884,0,0,0,0,0,0,1
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,1,-0.6364949300059205,1,1,1,0,0,1,0
1,0,0,1,-0.0986731599168891,1,0,0,1,1,0,1,0,1,0,-0.0099125724894757,0,1,1,0,1,0,0
1,0,1,1,-0.7098325790615434,1,0,0,1,1,1,0,1,0,1,0.1562896443583875,0,1,1,0,0,0,1
0,0,1,1,-0.9950403079957154,1,0,0,0,0,1,1,1,0,1,0.1247112231572934,0,1,1,0,0,1,0
1,0,0,0,-1.0357842692720256,1,1,0,0,0,0,1,1,0,0,1.0039209502824906,1,1,0,1,0,0,1
0,0,1,1,1.5310852911355222,1,1,1,1,1,0,1,1,1,1,1.4410327805923713,0,1,0,1,1,0,0
1,0,1,1,1.2051336009250395,1,0,1,1,1,1,1,1,2,0,0.7080810042932936,0,1,1,0,0,1,0
0,0,1,1,-1.076528230548336,1,0,0,0,0,0,0,0,0,0,-1.499084435446331,0,0,0,0,0,0,1
0,0,1,1,-0.7505765403378537,1,0,0,0,0,0,0,1,0,1,0.5352306987715161,0,1,0,1,0,0,0
0,0,0,0,-0.4246248501273714,1,1,0,0,0,0,1,0,0,1,0.6432621397226272,0,1,0,1,0,0,0
1,0,1,1,-0.4246248501273714,1,0,0,0,0,0,0,0,1,0,-1.4841262359300234,0,0,0,0,0,0,1
1,0,1,1,-0.6690886177852331,1,0,1,0,1,0,1,0,2,0,-0.0182226833318689,0,1,1,0,0,0,1
1,0,0,0,-0.9135523854430948,1,1,0,0,0,0,0,0,2,0,-1.2996417752288951,0,0,0,0,0,0,0
0,0,0,1,-0.791320501614164,1,0,1,1,0,0,0,0,0,1,-0.2924563411308434,0,1,1,0,0,1,0
0,0,1,0,-0.506112772679992,1,1,1,0,0,0,0,0,0,0,0.5850913638258751,1,1,0,1,0,1,0
0,0,0,0,-1.2395040756535771,1,0,0,0,0,0,0,0,0,1,0.1629377330323022,0,1,0,1,0,1,0
1,0,0,0,0.8384379494382472,1,1,0,1,1,1,0,1,2,1,0.3025475951845074,0,1,1,0,0,0,0
0,0,1,1,-0.8728084241667845,1,0,0,0,0,0,0,0,1,0,-1.4691680364137156,0,0,0,0,0,0,1
1,0,1,0,1.490341329859212,1,0,0,0,0,0,0,0,2,0,-1.4924363467724169,0,0,0,0,0,0,1
0,0,0,0,-1.1580161531009563,1,0,0,0,0,0,0,0,0,1,0.2028262650757895,1,1,0,1,0,0,0
1,0,1,0,1.6125732136881423,1,1,1,1,1,1,1,1,2,1,0.8061403122335331,0,1,1,0,0,0,0
1,1,1,0,1.0421577558197987,0,0,0,1,1,0,0,1,0,1,-0.648129085185271,1,1,1,0,0,1,0
0,0,1,1,-0.6690886177852331,1,0,0,0,0,0,0,0,0,0,-1.4758161250876305,0,0,0,0,0,1,0
1,0,1,0,0.4309983366751445,1,0,1,0,1,1,0,0,1,1,0.6465861840595843,0,1,0,1,0,0,0
0,0,1,0,-1.2395040756535771,1,1,0,0,1,1,1,1,0,1,1.3163811179564735,1,1,0,1,0,1,0
1,0,1,0,-0.7505765403378537,1,0,0,1,1,1,1,1,2,0,0.5701331643095673,0,1,1,0,0,0,1
0,0,1,0,0.8384379494382472,1,0,0,0,1,0,1,1,1,1,0.9989348837770544,1,1,0,1,0,0,0
0,0,0,0,-0.0171852373642686,1,0,0,0,0,0,0,0,1,0,-1.4708300585821945,0,0,0,0,0,0,0
0,0,1,0,0.0643026851883519,1,1,0,0,0,0,0,0,0,0,-1.3328822185984677,0,0,0,0,0,1,0
0,1,0,0,-0.7098325790615434,1,1,0,0,0,0,0,0,0,1,0.3208298390377723,1,1,0,1,0,0,1
0,1,0,0,-1.0357842692720256,1,0,1,0,0,0,0,0,0,0,0.3873107257769176,1,1,0,1,0,0,0
0,0,1,1,-0.7098325790615434,1,1,0,1,1,0,1,1,0,1,1.3479595391575674,0,1,0,1,0,0,0
1,0,1,0,1.1643896396487294,1,0,0,0,0,0,0,0,1,1,-1.4708300585821945,0,0,0,0,1,0,0
0,0,0,0,-1.2802480369298874,0,0,0,1,0,0,0,0,0,0,-1.1583698909082112,1,1,1,0,0,0,0
0,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,-0.648129085185271,0,1,1,0,0,0,1
1,0,0,0,-0.9950403079957154,1,1,0,0,0,0,0,1,0,0,0.6548962949019775,1,1,0,1,0,0,0
1,0,1,1,0.0235587239120416,1,0,1,0,1,0,1,1,1,0,0.330801972048644,0,1,1,0,1,0,0
0,0,0,0,-0.791320501614164,1,0,0,1,1,0,0,0,0,1,0.480383967211721,1,1,0,1,0,1,0
0,0,1,0,-1.2802480369298874,0,0,0,0,0,0,0,0,0,1,-1.3295581742615106,1,1,1,0,0,1,0
1,0,0,0,-0.506112772679992,1,0,0,1,0,0,0,0,0,1,-0.4320662032830487,0,1,1,0,0,0,1
1,0,0,0,-1.1987601143772668,0,0,0,0,0,1,0,0,0,0,-1.1434116913919037,0,1,1,0,0,1,0
0,0,0,0,-0.791320501614164,1,0,0,0,0,0,0,0,1,0,-1.5007464576148095,0,0,0,0,0,1,0
0,0,1,0,0.3087664528462136,1,1,0,1,0,0,0,0,0,0,-0.2725120751090997,0,1,1,0,1,0,0
1,0,1,1,0.4309983366751445,1,1,1,0,0,1,0,1,1,1,0.2360667084453621,0,1,1,0,1,0,0
1,0,1,0,-1.076528230548336,1,0,0,1,1,0,0,1,0,1,0.8709591768041999,1,1,0,1,0,1,0
0,0,1,1,1.490341329859212,1,0,0,0,0,0,0,0,2,0,-1.4974224132778524,0,0,0,0,0,0,0
0,0,1,1,1.6125732136881423,1,1,1,1,1,0,1,1,2,0,1.4925554678152089,0,1,0,1,1,0,0
1,0,1,1,1.082901717096109,1,0,0,0,0,0,0,0,2,0,-1.5123806127941604,0,0,0,0,1,0,0
0,0,1,0,-0.506112772679992,1,0,1,1,0,1,1,0,0,1,1.055443637505328,0,1,0,1,0,1,0
1,0,1,1,-0.3431369275747509,1,1,0,0,0,0,0,0,2,1,-1.3528264846202114,0,0,0,0,0,0,0
1,0,0,0,1.082901717096109,1,1,0,1,1,1,1,1,0,1,1.5474021993750031,0,1,0,1,0,1,0
1,0,1,1,1.6125732136881423,1,1,0,1,1,1,1,1,2,1,1.577318598407619,0,1,0,1,0,0,0
1,0,0,1,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,-1.46418196990828,0,0,0,0,0,0,1
0,0,1,0,-0.22090504374582,1,0,1,0,0,1,1,1,1,1,1.233280009532542,0,1,0,1,1,0,0
0,0,0,0,-0.7505765403378537,1,0,0,1,0,1,0,0,0,1,0.5069763219073791,0,1,0,1,1,0,0
1,0,1,1,1.5718292524118322,1,1,1,0,1,0,1,1,2,0,1.354607627831482,0,1,0,1,0,1,0
1,0,0,1,-0.791320501614164,1,0,0,0,0,0,1,0,0,1,0.4488055460106269,0,1,0,1,1,0,0
1,0,0,0,0.4717422979514547,1,0,0,0,0,0,0,0,0,0,0.1346833561681651,0,1,0,1,1,0,0
0,0,0,0,0.0235587239120416,1,0,0,1,0,1,0,0,1,1,0.503652277570422,0,1,0,1,0,0,0
1,0,1,1,1.6125732136881423,0,0,1,1,1,1,0,1,2,1,-0.3107385849841083,0,1,1,0,1,0,0
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,1,0,0,0.5019902554019434,1,1,0,1,0,1,0
0,0,0,0,-0.5468567339563023,1,0,1,0,1,1,1,1,0,1,1.3895100933695332,1,1,0,1,0,1,0
1,0,1,0,1.2866215234776603,1,0,0,1,1,1,1,1,1,1,1.251562253385807,0,1,0,1,1,0,0
1,0,0,0,-1.2395040756535771,1,0,0,0,0,0,0,0,0,1,-0.62486077482657,1,1,1,0,1,0,0
0,0,0,0,-1.2802480369298874,0,0,0,0,0,0,0,0,0,0,-1.3145999747452028,0,1,1,0,0,1,0
1,0,0,1,1.1643896396487294,1,0,0,0,0,0,0,0,2,0,-1.4974224132778524,0,0,0,0,0,0,1
0,0,1,1,-0.1394171211931994,1,0,0,0,0,0,0,0,1,0,-1.4891123024354591,0,0,0,0,0,1,0
1,1,1,0,-0.3838808888510611,1,1,0,0,0,0,0,1,0,0,0.7313493146519946,0,1,0,1,0,1,0
0,0,1,0,1.0014137945434884,0,0,1,1,1,0,1,1,0,1,-0.2010451218645185,0,1,1,0,0,0,0
1,0,1,1,1.6125732136881423,0,0,1,1,1,1,0,0,2,0,-0.6497911073537496,0,1,1,0,1,0,0
1,0,1,0,1.368109446030281,0,0,1,1,1,1,1,0,2,1,-0.2725120751090997,0,1,1,0,0,0,0
1,0,1,1,1.3273654847539706,1,1,0,1,1,1,1,1,2,1,0.6449241618911058,0,1,1,0,0,0,0
0,0,0,0,-0.9950403079957154,1,0,0,0,0,0,1,0,0,1,0.5053142997389005,0,1,0,1,0,0,0
0,0,0,0,-1.1580161531009563,1,0,0,0,0,0,0,0,0,1,0.17789593254861,1,1,0,1,0,1,0
0,0,1,0,1.5718292524118322,1,1,0,0,0,0,0,0,2,0,-1.3312201964299892,0,0,0,0,0,0,0
1,0,1,1,-1.2802480369298874,1,0,0,0,0,0,0,0,1,1,-1.4824642137615447,0,0,0,0,0,1,0
1,0,1,0,-1.1580161531009563,1,0,0,0,0,1,0,0,0,0,-0.4902369791798008,1,1,1,0,0,0,1
